SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Thraupidae_sp._(tanager_sp.),28802,tanager_sp.,spuh,Passeriformes,Thraupidae (Tanagers and Allies),?,?,?
Thraupis_abbas,28440.6,Yellow-winged_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,abbas
Thraupis_bonariensis,28456,Blue-and-yellow_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,bonariensis
Thraupis_cyanocephala,28447,Blue-capped_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,cyanocephala
Thraupis_cyanoptera,28440,Azure-shouldered_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,cyanoptera
Thraupis_episcopus,28421,Blue-gray_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,episcopus
Thraupis_glaucocolpa,28439,Glaucous_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,glaucocolpa
Thraupis_ornata,28440.3,Golden-chevroned_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,ornata
Thraupis_palmarum,28441,Palm_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,palmarum
Thraupis_sayaca,28435,Sayaca_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thraupis,sayaca
Threnetes_leucurus,8418,Pale-tailed_Barbthroat,species,Apodiformes,Trochilidae (Hummingbirds),?,Threnetes,leucurus
Threnetes_ruckeri,8416,Band-tailed_Barbthroat,species,Apodiformes,Trochilidae (Hummingbirds),?,Threnetes,ruckeri
Threskiornis_aethiopicus,2289,Sacred_Ibis,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,Threskiornis,aethiopicus
Threskiornithidae_sp._(ibis_sp.),2315.5,ibis_sp.,spuh,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,?,?
Thripadectes_flammulatus,13676,Flammulated_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,flammulatus
Thripadectes_holostictus,13673.8,Striped_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,holostictus
Thripadectes_ignobilis,13672.8,Uniform_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,ignobilis
Thripadectes_melanorhynchus,13673.2,Black-billed_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,melanorhynchus
Thripadectes_rufobrunneus,13673,Streak-breasted_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,rufobrunneus
Thripadectes_scrutator,13676.6,Rufous-backed_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,scrutator
Thripadectes_virgaticeps,13674.6,Streak-capped_Treehunter,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripadectes,virgaticeps
Thripophaga_[undescribed_form],13711.4,Delta_Amacuro_Softtail_(undescribed_form),form,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,?,?
Thripophaga_berlepschi,13712.4,Russet-mantled_Softtail,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripophaga,berlepschi
Thripophaga_fusciceps,13711.6,Plain_Softtail,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripophaga,fusciceps
Thripophaga_macroura,13711,Striated_Softtail,species,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),?,Thripophaga,macroura
Thryomanes_bewickii,21296,Bewick's_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryomanes,bewickii
Thryomanes_bewickii_[eremophilus_Group],21300,Bewick's_Wren_(Interior_West),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Thryomanes_bewickii_[spilurus_Group],21305,Bewick's_Wren_(Pacific),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Thryomanes_bewickii_bewickii/altus,21297,Bewick's_Wren_(Eastern),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Thryophilus_nicefori,21373.6000000001,Niceforo's_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryophilus,nicefori
Thryophilus_pleurostictus,21373.4500000001,Banded_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryophilus,pleurostictus
Thryophilus_rufalbus,21373.5300000001,Rufous-and-white_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryophilus,rufalbus
Thryophilus_sinaloa,21373.4100000001,Sinaloa_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryophilus,sinaloa
Thryorchilus_browni,21247.3,Timberline_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryorchilus,browni
Thryothorus_ludovicianus,21319,Carolina_Wren,species,Passeriformes,Troglodytidae (Wrens),?,Thryothorus,ludovicianus
Thryothorus_ludovicianus_[albinucha_Group],21329,Carolina_Wren_(White-browed),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Thryothorus_ludovicianus_[berlandieri_Group],21325,Carolina_Wren_(Northeast_Mexico/South_Texas),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Thryothorus_ludovicianus_[ludovicianus_Group],21320,Carolina_Wren_(Northern),issf,Passeriformes,Troglodytidae (Wrens),?,?,?
Tiaris_bicolor,29244,Black-faced_Grassquit,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tiaris,bicolor
Tiaris_canorus,29231,Cuban_Grassquit,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tiaris,canorus
Tiaris_fuliginosus,29243,Sooty_Grassquit,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tiaris,fuliginosus
Tiaris_obscurus,29238,Dull-colored_Grassquit,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tiaris,obscurus
Tiaris_olivaceus,29232,Yellow-faced_Grassquit,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tiaris,olivaceus
Tigrisoma_fasciatum,2111,Fasciated_Tiger-Heron,species,Pelecaniformes,Ardeidae (Herons- Egrets- and Bitterns),?,Tigrisoma,fasciatum
Tigrisoma_lineatum,2108,Rufescent_Tiger-Heron,species,Pelecaniformes,Ardeidae (Herons- Egrets- and Bitterns),?,Tigrisoma,lineatum
Tigrisoma_mexicanum,2115,Bare-throated_Tiger-Heron,species,Pelecaniformes,Ardeidae (Herons- Egrets- and Bitterns),?,Tigrisoma,mexicanum
Tijuca_atra,15169,Black-and-gold_Cotinga,species,Passeriformes,Cotingidae (Cotingas),?,Tijuca,atra
Tijuca_condita,15170,Gray-winged_Cotinga,species,Passeriformes,Cotingidae (Cotingas),?,Tijuca,condita
